stage,experiment,status,setting,total_epochs,reported_epoch,result_basis,map100,p_at_5,r_at_100,curve_peak_epoch,curve_peak_map100,hash_state,output_dir,queue_log,notes
C,C0,completed,legacy_merged_semantic_self_calibrated,10,10,epoch_10,0.3015,0.7395,0.3812,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round1/c0_legacy_control/s5vh_ucf_32b_20260715_131854,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round1_cuda2_c0-c3_20260715_131852.queue.log,old-objective reference
C,C1,completed,aucl_route_off_memory_epoch1,10,10,epoch_10,0.1665,0.5223,0.2610,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round1/c1_no_routed_similarity/s5vh_ucf_32b_20260715_131854,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round1_cuda3_c1-c2_20260715_131852.queue.log,
C,C2,completed,aucl_route_on_no_memory_within_10ep,10,10,epoch_10,0.2172,0.6447,0.3003,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round1/c2_no_memory_candidates/s5vh_ucf_32b_20260715_133302,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round1_cuda3_c1-c2_20260715_131852.queue.log,best AUCL branch in round C
C,C3,completed,aucl_route_off_memory_epoch6,10,10,epoch_10,0.1733,0.5375,0.2634,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round1/c3_no_route_memory_warmup/s5vh_ucf_32b_20260715_133236,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round1_cuda2_c0-c3_20260715_131852.queue.log,
D,D0,completed,aucl_route_on_full_memory_epoch1,10,5,curve_peak,0.0138,,,,,collapsed_entropy_0.186_bit_use_0.188,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round2/d0_route_memory_from_epoch1/s5vh_ucf_32b_20260715_140728,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round2_cuda2_d0_20260715_140726.queue.log,early full memory causes collapse
D,D1,completed,aucl_route_on_full_memory_hard_switch_epoch6,10,10,curve_peak,0.2268,,,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round2/d1_routed_memory_hard_warmup/s5vh_ucf_32b_20260715_140728,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round2_cuda3_d1-d2_20260715_140726.queue.log,
D,D2,completed,aucl_route_on_memory_linear_ramp_epoch7_10,10,10,curve_peak,0.2287,,,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_round2/d2_routed_memory_linear_ramp/s5vh_ucf_32b_20260715_141817,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_round2_cuda3_d1-d2_20260715_140726.queue.log,best schedule in round D
E,E0,completed,aucl_route_on_no_memory,30,25,best_checkpoint,0.2479,0.7071,0.3240,30,0.2484,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_e0_e1_30ep/e0_routed_no_memory_30ep/s5vh_ucf_32b_20260715_160540,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_e0_30ep_cuda2_20260715_160539.queue.log,curve peak differs from best checkpoint
E,E1,completed,aucl_route_on_full_memory_ramp,30,25,best_checkpoint,0.2705,0.6728,0.3487,25,0.2705,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_e0_e1_30ep/e1_routed_memory_ramp_30ep/s5vh_ucf_32b_20260715_160540,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_e1_30ep_cuda3_20260715_160539.queue.log,current best AUCL
F,F0,completed,aucl_memory_hard_top64,30,15,best_checkpoint,0.2146,0.6691,0.2962,20,0.2153,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_f0_f1_topk/f0_routed_memory_topk64_30ep/s5vh_ucf_32b_20260715_233842,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_f0_topk_cuda2_20260715_233840.queue.log,curve peak differs from best checkpoint
F,F1,completed,aucl_memory_hard_top128,30,20,best_checkpoint,0.2434,0.6952,0.3182,20,0.2434,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_f0_f1_topk/f1_routed_memory_topk128_30ep/s5vh_ucf_32b_20260715_233842,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_f1_topk_cuda3_20260715_233840.queue.log,
G,G0,completed,aucl_memory_supervised_only,30,25,best_checkpoint,0.2373,0.6949,0.3151,25,0.2373,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_g0_g1_memory_pool/g0_routed_memory_supervised_only_30ep/s5vh_ucf_32b_20260716_011758,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_g0_memory_pool_cuda2_20260716_011756.queue.log,
G,G1,completed,aucl_memory_uniform1024,30,20,best_checkpoint,0.2567,0.6834,0.3355,20,0.2567,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_g0_g1_memory_pool/g1_routed_memory_uniform1024_30ep/s5vh_ucf_32b_20260716_011758,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_g1_memory_pool_cuda3_20260716_011756.queue.log,best candidate-reduction ablation but below E1
H,H0,completed,e1_trace_off_control,15,15,final_epoch,0.2538,0.6439,0.3353,,,healthy,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_h0_h1_actual_trace/h0_trace_off_control_15ep/s5vh_ucf_32b_20260720_125731,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_h0_actual_trace_cuda2_20260720_125729.queue.log,trace-neutrality control
H,H1,completed,e1_read_only_actual_trace_from_epoch7,15,15,final_epoch,0.2530,0.6435,0.3351,,,healthy_entropy_0.992_bit_use_1.000,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_h0_h1_actual_trace/h1_trace_only_from_epoch7_15ep/s5vh_ucf_32b_20260720_131804,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_h1_actual_trace_cuda3_20260720_131803.queue.log,valid H1; semantic feedback gates failed
H,H1-invalid,excluded,trace_disabled_by_planner_warmup,,,,,,,,,not_comparable,/mnt/disk2/yql/RF-CLaTH_outputs/rf_clath_ucf_h0_h1_actual_trace/h1_trace_only_from_epoch7_15ep/s5vh_ucf_32b_20260720_125731,/mnt/disk2/yql/RF-CLaTH_run_logs/rf_clath_ucf_h1_actual_trace_cuda3_20260720_125729.queue.log,stopped at epoch7 step20 and excluded
