stage,experiment,epoch,map100,p_at_5,r_at_100,selected_for_summary,record_scope
C,C0,10,0.3015,0.7395,0.3812,true,epoch10_only
C,C1,10,0.1665,0.5223,0.2610,true,epoch10_only
C,C2,10,0.2172,0.6447,0.3003,true,epoch10_only
C,C3,10,0.1733,0.5375,0.2634,true,epoch10_only
D,D0,5,0.0138,,,true,best_point_only
D,D1,10,0.2268,,,true,best_point_only
D,D2,10,0.2287,,,true,best_point_only
E,E0,5,0.1690,,,false,full_5ep_curve
E,E0,10,0.2173,,,false,full_5ep_curve
E,E0,15,0.2390,,,false,full_5ep_curve
E,E0,20,0.2457,,,false,full_5ep_curve
E,E0,25,0.2479,0.7071,0.3240,true,full_5ep_curve
E,E0,30,0.2484,,,false,full_5ep_curve
E,E1,5,0.1694,,,false,full_5ep_curve
E,E1,10,0.2299,,,false,full_5ep_curve
E,E1,15,0.2594,,,false,full_5ep_curve
E,E1,20,0.2690,,,false,full_5ep_curve
E,E1,25,0.2705,0.6728,0.3487,true,full_5ep_curve
E,E1,30,0.2697,,,false,full_5ep_curve
F,F0,5,0.1694,,,false,full_5ep_curve
F,F0,10,0.1993,,,false,full_5ep_curve
F,F0,15,0.2146,0.6691,0.2962,true,full_5ep_curve
F,F0,20,0.2153,,,false,full_5ep_curve
F,F0,25,0.2116,,,false,full_5ep_curve
F,F0,30,0.2111,,,false,full_5ep_curve
F,F1,5,0.1691,,,false,full_5ep_curve
F,F1,10,0.2078,,,false,full_5ep_curve
F,F1,15,0.2227,,,false,full_5ep_curve
F,F1,20,0.2434,0.6952,0.3182,true,full_5ep_curve
F,F1,25,0.2407,,,false,full_5ep_curve
F,F1,30,0.2416,,,false,full_5ep_curve
G,G0,5,0.1694,,,false,full_5ep_curve
G,G0,10,0.2153,,,false,full_5ep_curve
G,G0,15,0.2330,,,false,full_5ep_curve
G,G0,20,0.2358,,,false,full_5ep_curve
G,G0,25,0.2373,0.6949,0.3151,true,full_5ep_curve
G,G0,30,0.2371,,,false,full_5ep_curve
G,G1,5,0.1693,,,false,full_5ep_curve
G,G1,10,0.2223,,,false,full_5ep_curve
G,G1,15,0.2484,,,false,full_5ep_curve
G,G1,20,0.2567,0.6834,0.3355,true,full_5ep_curve
G,G1,25,0.2551,,,false,full_5ep_curve
G,G1,30,0.2557,,,false,full_5ep_curve
H,H0,5,0.1697,0.5697,0.2592,false,full_5ep_curve
H,H0,10,0.2277,0.6115,0.3135,false,full_5ep_curve
H,H0,15,0.2538,0.6439,0.3353,true,full_5ep_curve
H,H1,5,0.1688,0.5696,0.2583,false,full_5ep_curve
H,H1,10,0.2307,0.6165,0.3140,false,full_5ep_curve
H,H1,15,0.2530,0.6435,0.3351,true,full_5ep_curve
